name,emoji,category,default_unit,default_price
lardons,🥓,protein,150g,2.99
pearl_onions,🧅,vegetable,200g,1.79
thyme,🌿,spice,1 bunch,1.29
beef_chuck,🥩,protein,800g,7.99
pinot_noir,🍷,liquid,375ml,5.99
cremini_mushrooms,🍄,vegetable,250g,2.29
red_bell_pepper,🫑,vegetable,2 pcs,1.49
herbes_de_provence,🌿,spice,25g,1.79
heavy_cream,🥛,dairy,200ml,1.49
vanilla_bean,🟡,baking,1 pod,3.99
caramel,🍬,baking,100ml,1.99
shortcrust_pastry,🥧,baking,400g,2.49
gruyere,🧀,dairy,200g,3.99
nutmeg,🟤,spice,1 pc,1.49
yellow_onion,🧅,vegetable,3 pcs,0.99
beef_stock,🍖,liquid,1L,2.49
emmental,🧀,dairy,200g,3.49
cognac,🥃,liquid,100ml,4.99
mixed_fish,🐟,protein,500g,8.99
mussels,🦪,protein,500g,4.99
fennel,🌿,vegetable,1 pc,1.79
rouille,🟠,condiment,100ml,2.49
duck_legs,🦆,protein,500g,7.99
duck_fat,🦆,oil,200g,4.99
golden_apples,🍎,fruit,4 pcs,2.29
puff_pastry,🥧,baking,400g,2.49
beef_brisket,🥩,protein,800g,8.99
bone_marrow,🦴,protein,300g,4.99
leek,🥬,vegetable,2 pcs,1.49
turnip,🟢,vegetable,2 pcs,1.29
bouquet_garni,🌿,spice,1 pack,1.29
sole_fillet,🐟,protein,300g,7.99
crêpe_batter,🥞,baking,500ml,2.29
grand_marnier,🍊,liquid,100ml,4.99
white_beans,🫘,grain,400g,1.49
duck_confit,🦆,protein,400g,8.99
pork_sausage,🌭,protein,400g,3.49
tomato_paste,🍅,condiment,200g,0.99
beef_tenderloin,🥩,protein,300g,12.99
egg_yolk,🥚,protein,1 pc,0.29
cornichon,🥒,condiment,100g,1.79
dijon_mustard,🟡,condiment,200g,1.99
worcestershire,🥫,condiment,200ml,1.99
egg_whites,🥚,protein,6 pcs,1.29
crème_anglaise,🍮,dairy,250ml,2.49
almond,🌰,other,100g,2.49
chicken_broth,🍗,liquid,1L,2.49
chives,🌿,vegetable,1 bunch,0.89
dark_chocolate_bar,🍫,baking,100g,2.49
pastry_shell,🥧,baking,1 pc,2.29
pastry_cream,🍮,dairy,250ml,2.49
strawberry,🍓,fruit,300g,2.99
apricot_glaze,🟠,condiment,100ml,1.99
choux_pastry,🥧,baking,400g,2.49
beef_roast,🥩,protein,1kg,9.99
celery_root,🥬,vegetable,1 pc,1.49
cloves,🟤,spice,25g,1.29
gingersnap,🍪,baking,100g,1.49
bread_flour,🌾,baking,1kg,1.29
baking_soda,🧂,baking,100g,0.79
coarse_salt,🧂,spice,200g,1.29
beer,🍺,liquid,500ml,1.49
mustard,🟡,condiment,200g,1.49
sauerkraut,🥬,vegetable,400g,1.79
bread_roll,🍞,grain,4 pcs,1.29
caraway,🌿,spice,50g,1.29
spätzle,🍝,grain,500g,2.29
caramelized_onion,🧅,vegetable,200g,1.79
bacon,🥓,protein,200g,2.99
pickle,🥒,condiment,200g,1.49
red_wine,🍷,liquid,375ml,4.99
chocolate_sponge,🍫,baking,1 pc,3.49
whipped_cream,🥛,dairy,250ml,1.49
cherry,🍒,fruit,200g,2.99
kirschwasser,🍒,liquid,100ml,4.99
chocolate_shavings,🍫,baking,50g,1.49
pasta_dough,🍝,baking,400g,1.99
marjoram,🌿,spice,1 bunch,0.99
thin_dough,🍕,baking,400g,1.79
crème_fraîche,🥛,dairy,200ml,1.79
pork_knuckle,🍖,protein,1kg,6.99
apple,🍎,fruit,3 pcs,1.49
juniper_berry,🟣,spice,25g,1.99
strudel_dough,🥧,baking,400g,2.29
vanilla_cream,🍮,dairy,250ml,2.29
yeast_dough,🍞,baking,500g,1.99
honey_almond_topping,🍯,baking,200g,2.99
streusel_topping,🍪,baking,200g,1.79
gingerbread,🍪,baking,100g,1.79
ground_veal,🥩,protein,500g,6.99
anchovy,🐟,protein,50g,1.99
cream_sauce,🥛,condiment,250ml,1.99
corned_beef,🥩,protein,400g,3.99
beetroot,🔴,vegetable,300g,1.49
pickled_herring,🐟,protein,200g,2.99
peppercorn,🫙,spice,50g,1.49
roasted_peanuts,🥜,other,100g,1.69
tamarind_paste,🟤,condiment,200g,1.99
green_curry_paste,🟢,condiment,200g,2.49
thai_basil,🌿,vegetable,1 bunch,1.29
lime_leaves,🍃,spice,10g,1.29
kaffir_lime_leaves,🍃,spice,10g,1.29
straw_mushrooms,🍄,vegetable,200g,2.29
bird_eye_chili,🌶️,vegetable,50g,0.99
green_papaya,🟢,vegetable,1 pc,2.49
dried_shrimp,🦐,protein,50g,2.49
palm_sugar,🟤,baking,200g,1.49
massaman_paste,🌶️,condiment,200g,2.99
pearl_onion,🧅,vegetable,200g,1.79
jasmine_rice,🍚,grain,500g,1.99
spring_onion,🧅,vegetable,1 bunch,0.89
white_pepper,🫙,spice,50g,1.29
wide_rice_noodles,🍜,grain,400g,1.89
chinese_broccoli,🥦,vegetable,250g,1.79
dark_soy_sauce,🥫,condiment,250ml,2.29
oyster_sauce,🦪,condiment,250ml,1.99
glutinous_rice,🍚,grain,500g,2.29
ripe_mango,🥭,fruit,2 pcs,2.99
pandan_leaf,🌿,spice,5 pcs,1.29
oyster_mushroom,🍄,vegetable,200g,2.49
holy_basil,🌿,vegetable,1 bunch,1.49
red_curry_paste,🔴,condiment,200g,2.49
khao_soi_paste,🌶️,condiment,200g,2.99
pickled_mustard,🟡,condiment,200g,1.79
crispy_noodles,🍜,grain,100g,1.49
coriander_root,🌿,spice,50g,1.29
egg_noodles,🍜,grain,400g,1.69
oyster,🦪,protein,300g,7.99
rice_flour,🌾,baking,500g,1.49
tapioca_flour,🌾,baking,500g,1.49
sriracha,🌶️,condiment,250ml,2.29
pandan,🌿,spice,5 pcs,1.29
corn_kernels,🌽,vegetable,200g,1.29
grilled_pork,🐷,protein,300g,4.49
toasted_rice_powder,🍚,spice,50g,1.29
white_turmeric,🟡,spice,50g,1.79
vegetables,🥕,vegetable,500g,2.29
shrimp_paste,🦐,condiment,50g,1.99
fish,🐟,protein,400g,5.49
green_bean,🟢,vegetable,200g,1.49
sweet_chili_sauce,🌶️,condiment,250ml,1.99
glutinous_rice_flour,🌾,baking,500g,1.49
taro,🟤,vegetable,300g,1.99
ground_lamb,🐑,protein,500g,6.99
tahini,🫙,condiment,200g,2.99
paprika,🔴,spice,50g,1.29
dried_chickpeas,🫘,grain,500g,1.79
fresh_parsley,🌿,vegetable,1 bunch,0.79
fine_bulgur,🌾,grain,500g,1.79
flat_leaf_parsley,🌿,vegetable,1 bunch,0.79
bomba_rice,🍚,grain,500g,3.49
prawn,🦐,protein,300g,6.99
mussel,🦪,protein,500g,4.49
smoked_paprika,🔴,spice,50g,1.79
garlic_sauce,🧄,condiment,200ml,1.99
pita,🫓,grain,4 pcs,1.49
sumac,🔴,spice,50g,1.79
feta,🧀,dairy,200g,2.49
phyllo_dough,🥧,baking,400g,2.49
dill,🌿,spice,1 bunch,0.89
greek_yogurt,🥛,dairy,200g,1.29
fresh_dill,🌿,spice,1 bunch,0.89
walnuts,🥜,other,100g,2.49
dried_oregano,🌿,spice,25g,0.99
tzatziki,🥒,condiment,200ml,1.99
bulgur,🌾,grain,500g,1.79
allspice,🟤,spice,50g,1.49
red_bell_pepper_vegetable,🫑,vegetable,2 pcs,1.49
romaine,🥬,vegetable,1 head,1.29
pita_chips,🫓,grain,200g,1.99
grape_leaves,🍃,other,30 pcs,2.49
strained_yogurt,🥛,dairy,200g,1.49
zaatar,🌿,spice,50g,1.99
fresh_mint,🌿,vegetable,1 bunch,0.89
semolina,🌾,grain,500g,1.49
merguez,🌭,protein,300g,3.99
root_vegetables,🥕,vegetable,500g,2.29
harissa,🌶️,condiment,200g,2.49
ras_el_hanout,🌿,spice,50g,2.49
bread_dough,🍞,baking,400g,1.79
nigella_seeds,⚫,spice,50g,1.29
lamb_shoulder,🐑,protein,800g,9.99
sherry_vinegar,🍶,condiment,250ml,2.99
walnut,🥜,other,100g,2.49
black_olives,🫒,vegetable,200g,2.29
dijon_vinaigrette,🟡,condiment,200ml,2.29
cherry_tomato,🍅,vegetable,250g,1.79
black_pudding,🟤,protein,200g,2.99
oatmeal,🌾,grain,500g,1.29
smoked_pork,🐷,protein,300g,4.49
pinkel_sausage,🌭,protein,300g,3.49
apple_sauce,🍎,condiment,200ml,1.29
clarified_butter,🧈,dairy,200g,3.49
pepper,🫙,spice,50g,1.29
yellow_squash,🟡,vegetable,2 pcs,1.49
red_pepper,🫑,vegetable,2 pcs,1.49
black_pepper_spice,🫙,spice,50g,1.29
sugar_glaze,🍬,baking,100ml,1.29
candied_peel,🍊,baking,100g,1.99
bone_broth,🍖,liquid,1L,2.49
carrots,🥕,vegetable,500g,0.99
cashew,🥜,other,100g,2.49
coconut_chutney,🥥,condiment,200ml,1.99
dry_white_wine,🍷,liquid,375ml,3.99
green_beans,🟢,vegetable,200g,1.49
pea_eggplant,🟢,vegetable,200g,2.49
ranchero_sauce,🌶️,condiment,400ml,2.29
risotto_rice,🍚,grain,500g,2.49
sambar,🍛,condiment,200ml,1.99
star_anise,⭐,spice,25g,1.49
tortilla,🌮,grain,8 pcs,1.99
